Nombre Estacion,Latitude,Longitude,Total Usuarios Decada
NICOLAS SAN JUAN - AVENIDA UNIVERSIDAD E425,19.3670868,-99.16740854,17435
CERRADA DE POPOCATEPETL - AV. POPOCATEPETL EJE 8 E426,19.3655186,-99.16601464,16419
AVENIDA MEXICO COYOACAN - AV. POPOCATEPETL EJE 8 E427,19.36502142,-99.16299605,20681
PROLONGACION UXMAL - AV. POPOCATEPETL (EJE 8) E428,19.36342495,-99.16035408,18210
PIRINEOS - AV. POPOCATEPETL (EJE 8) E429,19.36306975,-99.15829119,18474
TRIPOLI - AV. POPOCATEPETL (EJE 8) E430,19.36213873,-99.15497578,17799
BRUNO TRAVEN - PAZ MONTES DE OCA E431,19.36145,-99.15822149,24949
CARRILLO PTO - GOLONDRINAS E432,19.36129758,-99.16258098,22042
JOSE MARIA OLLOQUI - LOPEZ COSTILLA E433,19.3635658,-99.17082164,16053
JOSE MARIA OLLOQUI - AMORES E434,19.3637479,-99.17126681,21264
RODRIGUEZ SARO - AVENIDA COYOACAN E435,19.36515368,-99.17290801,19232
RODRIGUEZ SARO - BUFALLO E436,19.36621858,-99.17781699,29758
MORAS - COMUNAL E437,19.36480874,-99.17602032,26691
ADOLFO PRIETO - JOSE MARIA OLLOQUI E438,19.36480075,-99.17458059,19721
AMORES - AVENIDA COYOACAN E439,19.36218985,-99.17246804,27418
REAL DE MAYORAZGO - PUENTE XOCO E440,19.36064918,-99.16867015,15037
PUENTE XOCO - REAL DE MAYORAZGO E441,19.36121698,-99.1675289,18320
