Nombre Estacion,Latitude,Longitude,Alcaldia
MATIAS ROMERO - ADOLFO PRIETO E356,19.38129853,-99.17017388,BENITO JUAREZ
MATIAS ROMERO - AMORES E357,19.38060166,-99.16692711,BENITO JUAREZ
NICOLAS SAN JUAN - MATIAS ROMERO E358,19.38017761,-99.16422304,BENITO JUAREZ
MATIAS ROMERO - PESTALLOZZI E359,19.37927591,-99.16117231,BENITO JUAREZ
HERIBERTO FRIAS - MATIAS ROMERO E360,19.37903649,-99.16282596,BENITO JUAREZ
PORFIRIO DIAZ - CAPULIN E361,19.38071468,-99.17508091,BENITO JUAREZ
AUGUSTO RODIN - ALBERTO BALDERAS E362,19.38220862,-99.181043,BENITO JUAREZ
HOLBEIN - PAULO UCELLO E363,19.38081286,-99.18384969,BENITO JUAREZ
BOTICHELLI - CDA. DE GIORGONE E364,19.38306655,-99.18586062,BENITO JUAREZ
HOLBEIN - AVENIDA REVOLUCION E365,19.38111703,-99.18669127,BENITO JUAREZ
PORFIRIO DIAZ - AUGUSTO RODIN E366,19.37835033,-99.18197361,BENITO JUAREZ
BOSTON - AUGUSTO RODIN E367,19.379469,-99.18163133,BENITO JUAREZ
PORFIRIO DIAZ - CINCINATTI E368,19.37924375,-99.17934602,BENITO JUAREZ
PORFIRIO DIAZ - AV. INSURGENTES E369,19.37988719,-99.17747107,BENITO JUAREZ
TLACOQUEMECATL - AV. INSURGENTES E370,19.37882024,-99.17705435,BENITO JUAREZ
TLACOQUEMECATL - CAPULIN E371,19.37854977,-99.17433226,BENITO JUAREZ
DR. ROBERTO GAYOL - TLACOQUEMECATL E372,19.3779699,-99.17029113,BENITO JUAREZ
PILARES - GABRIEL MANCERA E373,19.37797003,-99.16666396,BENITO JUAREZ
PITAGORAS - PILARES E374,19.37697013,-99.16112539,BENITO JUAREZ
TENAYUCA - DIVISION DEL NORTE E375,19.37692231,-99.15880458,BENITO JUAREZ
PITAGORAS - AV. UNIVERSIDAD E376,19.37544877,-99.16159559,BENITO JUAREZ
HERIBERTO FRIAS - MIGUEL LAURENT E377,19.37540357,-99.16376443,BENITO JUAREZ
MIGUEL LAURENT - AMORES E378,19.37582296,-99.16807385,BENITO JUAREZ
DR. ROBERTO GAYOL - MIGUEL LAURENT E379,19.37575264,-99.17083954,BENITO JUAREZ
MORAS - SAN LORENZO E380,19.37488023,-99.17351448,BENITO JUAREZ
SAN LORENZO - MANZANAS E381,19.37553894,-99.17789004,BENITO JUAREZ
SAN LORENZO - AV. INSURGENTES E382,19.37559313,-99.1780846,BENITO JUAREZ
